,X,Y,Z
0,237.79779,14.981043,4.1437597
1,111.69414,92.18979,2.8578062
2,19.224667,412.4009,3.4721603
3,289.37802,516.2719,4.47951
4,141.29564,621.1775,3.6777716
5,177.48914,14.80799,5.1108246
6,165.26683,21.09725,4.839301
7,205.47682,57.114532,4.265052
8,269.59515,67.32511,4.874958
9,135.6491,66.779366,6.0642524
10,118.093,75.124,4.133866
11,154.0339,68.916374,4.6052237
12,69.49696,176.65369,3.4505534
13,343.55847,270.5644,3.1422937
14,344.11746,310.50247,3.3340936
15,11.543524,425.3376,5.967544
16,300.39072,489.44547,3.5141563
17,224.0704,9.7299795,5.0485263
18,240.77902,40.63989,6.9718986
19,163.50009,76.15082,6.349285
20,169.23692,89.61145,10.418084
21,88.76984,114.5381,3.9405012
22,82.42087,138.00876,4.97549
23,318.9093,140.45586,3.2378197
24,323.8021,151.92189,3.5020835
25,74.0,154.93446,3.655319
26,329.1687,177.78195,4.2485905
27,339.0281,184.68448,6.1930456
28,343.1404,205.84247,5.4101024
29,36.790302,272.7261,4.856758
30,57.00454,324.09683,6.6824703
31,325.56293,421.25705,3.7345223
32,243.33015,12.528102,7.7150936
33,251.03345,17.544281,4.6069937
34,261.25854,23.481573,6.2440767
35,269.8982,32.05917,6.100774
36,144.16643,39.083,3.2714925
37,218.94489,59.378708,6.402732
38,261.271,60.293613,4.5265956
39,197.44586,71.986664,4.2976003
40,94.60906,128.90497,4.738012
41,336.6942,221.7105,4.366593
42,342.37503,294.71716,3.9890494
43,341.86554,332.73636,5.0298824
44,17.095991,464.93054,4.697911
45,25.264732,473.47513,5.329528
46,37.100723,500.0516,5.178789
47,38.989677,530.38214,4.724676
48,280.75803,531.7779,5.048885
49,178.601,608.11566,5.5201974
50,206.65314,613.3524,3.9310527
51,285.75455,78.218376,4.0173063
52,309.7211,118.17347,4.557256
53,73.14905,164.28645,5.4439054
54,328.93195,169.14316,4.57507
55,65.59401,194.5994,4.70082
56,333.069,197.14418,5.344474
57,52.102467,257.78702,4.2628756
58,46.71577,268.26102,4.929707
59,34.62794,332.07184,4.948824
60,25.26494,364.53787,4.10425
61,340.5574,373.95407,4.777407
62,17.86987,453.82532,5.485551
63,36.31951,514.4087,5.512417
64,271.61368,549.1384,5.462027
65,190.88556,569.4917,5.3879943
66,206.04007,573.99786,5.5520735
67,282.63065,45.666504,6.3791747
68,125.88131,80.73251,6.4005933
69,302.3102,110.71669,6.121314
70,82.83294,150.64185,6.845252
71,36.553062,290.62723,4.5365853
72,43.111027,362.0348,7.2530622
73,19.075695,440.17133,5.0670853
74,77.92601,479.41446,6.908512
75,90.18706,482.87198,6.4283676
76,19.489904,483.38864,6.0
77,70.262314,489.30032,6.3277802
78,212.7803,515.95,4.8308406
79,216.51192,604.6848,6.5397353
80,159.96487,624.6025,6.073175
81,144.36404,99.79229,6.7640524
82,105.60146,100.72537,5.374173
83,325.658,161.3115,8.012653
84,49.20886,281.96027,7.4166446
85,34.864384,350.26382,5.1679454
86,294.85764,503.77246,7.0851946
87,53.840313,560.11255,6.087374
88,250.53096,8.877395,12.547254
89,97.868126,108.10831,7.571917
90,314.48517,131.05984,5.9414554
91,57.87258,265.64694,9.0931
92,341.04813,354.2027,6.6503367
93,86.08089,474.39624,8.294656
94,217.89671,525.6734,6.9425316
95,75.34553,583.329,6.477066
96,86.46545,596.29877,6.289298
97,280.37683,37.623173,12.119076
98,235.37482,59.984825,8.450924
99,276.84756,70.01752,9.650692
100,136.62279,77.45501,12.745776
101,152.91313,86.313225,17.874296
102,297.4084,99.0657,8.104961
103,51.21828,249.5427,7.6253753
104,42.28934,303.3041,5.2078805
105,318.59064,444.97702,6.73833
106,264.0841,564.8507,7.3383884
107,239.57529,587.37177,7.609163
108,229.29306,596.55426,7.5221367
109,193.92891,620.8607,8.071666
110,225.55896,40.123714,7.9422684
111,95.892006,119.05601,10.776001
112,311.19485,122.798134,11.003112
113,50.361572,238.50023,6.8310184
114,339.918,264.26154,10.637844
115,35.377666,315.73108,6.897125
116,335.62775,387.67734,8.06263
117,334.97165,401.6302,7.2773914
118,252.6695,578.8419,8.306235
119,99.79877,605.56036,8.047402
120,262.2195,12.520571,11.352675
121,249.99252,53.459885,9.621284
122,260.21332,59.72604,13.358876
123,291.09503,89.93435,8.926732
124,318.03006,140.05191,11.584153
125,337.4128,211.10095,13.52206
126,340.1134,236.9442,6.472688
127,327.9341,306.39972,10.945037
128,341.97626,319.9015,10.998505
129,27.335085,380.81485,9.505831
130,25.232336,466.82352,11.923816
131,306.50778,475.9196,8.093324
132,33.40718,490.59915,9.628143
133,151.15135,35.83164,9.503568
134,135.82228,42.179478,8.896622
135,182.27045,52.53035,8.431973
136,190.3177,79.16609,13.044529
137,121.115005,77.99944,14.321112
138,131.43347,85.75,12.67742
139,111.21479,87.03257,11.977993
140,319.50772,151.5825,12.355362
141,75.13089,186.24365,10.851632
142,59.723236,217.3656,8.067245
143,341.9611,250.4503,10.607517
144,341.42023,279.29572,11.454606
145,345.07645,305.1204,13.919427
146,13.312884,395.73746,9.536637
147,24.138412,409.94708,10.733906
148,327.75842,412.835,12.361535
149,64.46558,574.9843,10.40561
150,114.0734,612.5762,9.3193
151,128.2102,617.3041,9.900284
152,178.04158,626.4489,10.661557
153,216.78227,37.141926,11.099201
154,110.79061,124.0677,10.796384
155,69.37742,176.79248,11.593549
156,60.346684,205.47365,10.897868
157,320.71945,247.08093,11.962386
158,36.841545,285.04715,13.703233
159,32.057877,341.25537,11.986278
160,25.312887,351.25418,12.948809
161,341.42535,366.35138,13.616691
162,312.33194,464.36755,9.532207
163,301.14786,488.69308,14.82598
164,207.0156,615.5218,14.449569
165,189.18915,10.379859,9.577505
166,201.03398,40.330677,10.1960745
167,287.09232,71.17708,15.017011
168,119.30224,97.35217,8.818004
169,106.71696,95.64697,14.209176
170,334.37335,175.13896,13.494064
171,339.16238,225.0398,14.031538
172,40.739468,262.35815,13.893961
173,341.7661,291.41772,14.778019
174,339.6448,342.926,13.996832
175,37.91035,421.55957,12.23125
176,322.8427,429.8133,12.334322
177,285.18274,525.1584,14.180323
178,74.13484,561.27734,10.442766
179,123.54902,89.77451,15.455883
180,72.93824,157.5753,15.910688
181,33.812946,298.43994,16.0653
182,13.834707,368.80682,11.89576
183,40.543076,405.26215,12.6804905
184,41.421356,537.68884,13.957391
185,145.6939,621.00055,15.241957
186,136.10739,91.2519,19.416794
187,316.96024,129.76768,17.289623
188,336.06332,198.44469,15.459971
189,340.85898,379.8168,18.533852
190,13.495843,439.73825,17.091753
191,46.416077,549.7385,14.255538
192,159.0252,23.229225,15.42561
